               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.031891,            0.023895,          0.00088659,             0.79413,             0.79556,             0.75776,             0.33258,            0.042642,            0.031109,          0.00066039,            0.004796,            0.004796,            0.004796
                  57,            0.030156,            0.023975,           0.0006621,             0.78612,             0.75942,             0.74548,             0.32568,            0.042495,            0.032352,          0.00098615,           0.0046568,           0.0046568,           0.0046568
                  58,            0.030831,            0.024754,          0.00068783,             0.79103,             0.75391,             0.73465,              0.3344,            0.042015,             0.03168,          0.00072695,           0.0045184,           0.0045184,           0.0045184
                  59,             0.03162,            0.023906,          0.00076327,             0.80904,             0.79806,              0.7866,             0.35077,            0.040557,            0.030017,           0.0008343,           0.0043809,           0.0043809,           0.0043809
                  60,            0.030031,             0.02211,          0.00064403,             0.79397,              0.7863,             0.75878,             0.35223,             0.04059,            0.030652,          0.00080432,           0.0042445,           0.0042445,           0.0042445
                  61,            0.030701,            0.023678,          0.00063779,             0.77424,             0.74947,             0.72127,             0.33098,            0.042297,            0.033157,          0.00090893,           0.0041094,           0.0041094,           0.0041094
                  62,            0.030105,            0.022231,          0.00058527,             0.75071,             0.72685,             0.68724,             0.29773,            0.044879,            0.036051,           0.0007546,           0.0039757,           0.0039757,           0.0039757
                  63,            0.029807,            0.022068,            0.000615,             0.76617,             0.76284,             0.71776,             0.31328,            0.043287,            0.033707,          0.00072897,           0.0038434,           0.0038434,           0.0038434
                  64,            0.029726,            0.024881,             0.00067,             0.81652,             0.79118,              0.7683,             0.34696,            0.040712,            0.030833,          0.00074543,           0.0037128,           0.0037128,           0.0037128
                  65,            0.030493,            0.022025,          0.00064668,             0.76136,             0.78092,             0.75111,             0.34157,            0.041002,            0.030733,          0.00070635,            0.003584,            0.003584,            0.003584
                  66,            0.029325,            0.024162,          0.00057324,             0.80298,             0.77016,             0.75246,             0.33608,            0.041734,            0.031601,          0.00066495,            0.003457,            0.003457,            0.003457
                  67,            0.029417,            0.025032,          0.00062281,             0.82091,             0.77691,             0.77821,             0.36047,            0.040419,            0.029545,          0.00075413,           0.0033321,           0.0033321,           0.0033321
                  68,             0.02887,            0.021282,          0.00048287,             0.78103,             0.75601,             0.73101,             0.33762,            0.042147,            0.033022,           0.0007694,           0.0032093,           0.0032093,           0.0032093
                  69,             0.02856,            0.022382,          0.00049883,             0.79713,             0.74118,             0.72433,             0.31732,            0.043271,            0.033362,          0.00073697,           0.0030888,           0.0030888,           0.0030888
                  70,            0.027964,            0.021002,          0.00050845,             0.79925,             0.80622,             0.77946,               0.344,            0.041177,            0.031715,          0.00071846,           0.0029706,           0.0029706,           0.0029706
                  71,            0.029058,            0.023346,          0.00050374,             0.77724,             0.78923,             0.74303,             0.33496,            0.040944,            0.032407,          0.00071337,            0.002855,            0.002855,            0.002855
                  72,            0.027611,            0.020668,          0.00062086,             0.78454,             0.79069,             0.76124,              0.3575,             0.04019,            0.030584,          0.00072628,           0.0027419,           0.0027419,           0.0027419
                  73,            0.029086,            0.024025,          0.00069787,             0.80503,             0.78948,             0.76306,             0.34755,            0.040793,            0.031775,          0.00074832,           0.0026316,           0.0026316,           0.0026316
                  74,              0.0274,            0.020361,          0.00068784,             0.82554,             0.81223,             0.79632,             0.36966,            0.039327,            0.030554,          0.00086726,           0.0025241,           0.0025241,           0.0025241
                  75,            0.028238,            0.024031,           0.0005969,             0.82893,             0.78777,             0.78505,             0.36218,            0.039604,            0.029707,          0.00085506,           0.0024195,           0.0024195,           0.0024195
                  76,            0.028434,            0.022305,          0.00052204,             0.80937,             0.80342,             0.78328,             0.36481,            0.039759,            0.030739,          0.00072897,            0.002318,            0.002318,            0.002318
                  77,             0.02814,            0.022873,          0.00050795,             0.77962,             0.76177,             0.72888,             0.32832,            0.042395,            0.033887,          0.00083384,           0.0022196,           0.0022196,           0.0022196
                  78,            0.028014,            0.022058,          0.00040182,             0.79085,               0.778,             0.75984,             0.34437,            0.041222,            0.031995,          0.00073343,           0.0021245,           0.0021245,           0.0021245
                  79,             0.02818,            0.020824,          0.00048843,             0.78575,             0.76438,             0.74775,             0.33462,             0.04206,            0.033705,          0.00069741,           0.0020327,           0.0020327,           0.0020327
                  80,            0.028193,            0.023348,          0.00056966,             0.78628,             0.76263,              0.7359,             0.33306,            0.042131,            0.034386,          0.00069097,           0.0019443,           0.0019443,           0.0019443
                  81,            0.027861,            0.024932,           0.0004912,             0.81902,             0.77679,             0.76549,             0.36179,            0.039597,            0.031204,          0.00079485,           0.0018594,           0.0018594,           0.0018594
                  82,            0.027163,            0.020246,          0.00053625,              0.7884,             0.77672,             0.75086,             0.34109,            0.041451,            0.033048,          0.00072107,           0.0017781,           0.0017781,           0.0017781
                  83,            0.027997,            0.022225,           0.0004128,             0.77956,             0.78534,             0.74118,             0.33919,            0.041555,            0.033677,          0.00071932,           0.0017005,           0.0017005,           0.0017005
                  84,             0.02719,            0.020502,          0.00036088,             0.80807,               0.773,             0.75828,             0.35191,            0.040728,            0.032676,          0.00072002,           0.0016267,           0.0016267,           0.0016267
                  85,            0.027062,            0.021061,          0.00035996,             0.79017,             0.76062,             0.73281,             0.32303,            0.042292,            0.034438,          0.00076574,           0.0015566,           0.0015566,           0.0015566
                  86,            0.027226,            0.019664,          0.00036355,             0.79952,             0.76088,             0.75375,             0.34481,            0.041014,            0.032476,          0.00078554,           0.0014905,           0.0014905,           0.0014905
                  87,            0.027082,            0.020876,          0.00038365,             0.78164,             0.78386,             0.75101,             0.34355,            0.041051,            0.033475,          0.00076731,           0.0014283,           0.0014283,           0.0014283
                  88,            0.026363,            0.018885,          0.00051158,              0.8257,              0.7883,             0.77914,              0.3568,            0.040371,            0.031408,          0.00072061,           0.0013701,           0.0013701,           0.0013701
                  89,             0.02631,            0.021513,          0.00043412,             0.77865,             0.77664,             0.73725,             0.32453,            0.042311,            0.034702,          0.00069462,            0.001316,            0.001316,            0.001316
                  90,              0.0265,            0.023451,          0.00043606,             0.77097,             0.72912,             0.69564,             0.31971,            0.043469,            0.036464,          0.00074467,            0.001266,            0.001266,            0.001266
                  91,            0.026521,            0.023033,          0.00045114,             0.78933,             0.79072,              0.7658,              0.3472,            0.040866,            0.032724,          0.00069221,           0.0012202,           0.0012202,           0.0012202
                  92,            0.027287,            0.023385,           0.0005036,             0.80297,             0.77504,             0.74929,             0.33647,            0.041801,            0.033604,          0.00070007,           0.0011787,           0.0011787,           0.0011787
                  93,             0.02659,            0.020302,          0.00042194,             0.81093,             0.79072,             0.77764,             0.35438,            0.040843,            0.031755,          0.00072839,           0.0011414,           0.0011414,           0.0011414
                  94,            0.026279,            0.019885,          0.00036642,             0.78859,             0.77434,             0.74478,             0.32937,            0.042489,             0.03471,          0.00073986,           0.0011084,           0.0011084,           0.0011084
                  95,            0.026008,            0.020732,          0.00047009,             0.79085,             0.74769,              0.7182,             0.32459,            0.042761,            0.035989,          0.00077481,           0.0010797,           0.0010797,           0.0010797
                  96,            0.026214,            0.021055,          0.00033409,             0.79589,             0.77015,             0.73308,             0.33078,            0.042301,            0.034882,          0.00076022,           0.0010554,           0.0010554,           0.0010554
                  97,            0.026347,            0.021544,          0.00040831,             0.77984,             0.77801,             0.73552,             0.33482,            0.042134,            0.034749,          0.00068578,           0.0010355,           0.0010355,           0.0010355
                  98,            0.025817,            0.020299,          0.00046513,             0.78878,             0.77556,             0.75222,             0.34779,            0.041382,            0.033248,           0.0007151,             0.00102,             0.00102,             0.00102
                  99,            0.026204,            0.021086,          0.00040146,             0.78266,             0.77258,             0.73925,             0.33223,            0.042325,            0.035386,          0.00075775,           0.0010089,           0.0010089,           0.0010089
