               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.028436,            0.023228,          0.00057668,              0.7827,              0.7816,             0.72643,             0.32464,            0.042747,            0.035278,          0.00085631,           0.0025241,           0.0025241,           0.0025241
                  75,            0.028048,            0.022425,          0.00050964,             0.77954,             0.75354,             0.70834,             0.32572,             0.04265,            0.035503,           0.0011517,           0.0024195,           0.0024195,           0.0024195
                  76,            0.027426,            0.021326,          0.00062021,             0.78697,             0.77547,             0.73655,              0.3351,            0.041443,            0.033788,          0.00089453,            0.002318,            0.002318,            0.002318
                  77,             0.02796,            0.023274,          0.00060774,             0.78576,             0.78329,             0.73334,             0.33008,            0.042269,            0.035243,          0.00086365,           0.0022196,           0.0022196,           0.0022196
                  78,            0.026912,            0.024041,           0.0005935,             0.78079,             0.76677,             0.72746,             0.34097,            0.041456,            0.034288,           0.0007936,           0.0021245,           0.0021245,           0.0021245
                  79,            0.027923,             0.02355,          0.00055447,             0.80424,             0.79902,             0.75397,             0.34282,            0.041366,            0.034862,          0.00081614,           0.0020327,           0.0020327,           0.0020327
                  80,             0.02772,            0.023073,          0.00065861,             0.78962,             0.78386,             0.73397,             0.34188,            0.041521,            0.035808,          0.00085825,           0.0019443,           0.0019443,           0.0019443
                  81,            0.027652,            0.023281,          0.00055847,             0.76322,             0.75965,             0.70355,             0.32362,            0.042913,            0.036491,          0.00087912,           0.0018594,           0.0018594,           0.0018594
                  82,            0.026971,            0.023888,          0.00055875,             0.79468,             0.78772,             0.74725,             0.33926,            0.041625,             0.03534,          0.00085428,           0.0017781,           0.0017781,           0.0017781
                  83,            0.026533,            0.021262,          0.00049127,             0.79876,             0.79656,             0.76188,             0.34432,            0.041105,            0.035047,          0.00092977,           0.0017005,           0.0017005,           0.0017005
                  84,            0.026758,            0.021553,          0.00061999,             0.80265,             0.80147,              0.7648,             0.35365,             0.04055,            0.033276,          0.00097525,           0.0016267,           0.0016267,           0.0016267
                  85,            0.026896,            0.022427,          0.00051096,             0.79252,             0.78268,             0.75729,               0.352,            0.040872,            0.033587,          0.00097262,           0.0015566,           0.0015566,           0.0015566
                  86,            0.027156,               0.023,          0.00054562,             0.80397,             0.77796,             0.75006,             0.34862,            0.041143,            0.034931,          0.00097357,           0.0014905,           0.0014905,           0.0014905
                  87,            0.026762,            0.022976,            0.000484,             0.80839,             0.77457,             0.74452,             0.34284,            0.041317,            0.034781,          0.00089525,           0.0014283,           0.0014283,           0.0014283
                  88,            0.026099,            0.021034,          0.00039358,             0.78879,              0.7883,             0.74216,             0.33812,            0.041481,             0.03456,          0.00083568,           0.0013701,           0.0013701,           0.0013701
                  89,            0.026689,            0.022433,          0.00044304,             0.79967,             0.78772,             0.74914,             0.34804,            0.040809,            0.035066,          0.00078656,            0.001316,            0.001316,            0.001316
                  90,            0.026958,            0.021718,          0.00056084,             0.78794,             0.77751,              0.7381,             0.33805,            0.041617,            0.035172,          0.00086646,            0.001266,            0.001266,            0.001266
                  91,             0.02614,            0.022287,           0.0004706,             0.80162,             0.78875,             0.75905,             0.35137,            0.041134,            0.034131,          0.00087159,           0.0012202,           0.0012202,           0.0012202
                  92,            0.026846,             0.02266,          0.00062469,             0.80162,              0.7812,             0.75043,             0.34215,            0.041649,            0.034863,          0.00080264,           0.0011787,           0.0011787,           0.0011787
                  93,            0.026027,             0.02207,          0.00034824,             0.78977,             0.78228,             0.74576,             0.34221,            0.041747,            0.035567,          0.00088308,           0.0011414,           0.0011414,           0.0011414
                  94,            0.026525,            0.021653,          0.00042402,              0.7947,             0.78764,             0.74698,             0.35399,            0.040966,            0.034182,          0.00084011,           0.0011084,           0.0011084,           0.0011084
                  95,            0.026146,            0.021297,          0.00053548,             0.79574,             0.79004,             0.75242,             0.34978,            0.041138,            0.035629,          0.00075382,           0.0010797,           0.0010797,           0.0010797
                  96,            0.026646,            0.022157,          0.00041205,              0.8004,                 0.8,             0.75955,             0.35579,            0.040892,             0.03478,          0.00079993,           0.0010554,           0.0010554,           0.0010554
                  97,            0.026222,            0.022851,          0.00046567,             0.79463,             0.78097,             0.73165,             0.34275,            0.042139,            0.036424,          0.00083401,           0.0010355,           0.0010355,           0.0010355
                  98,            0.026262,            0.022473,          0.00043395,             0.79303,             0.77939,              0.7394,              0.3393,            0.042266,            0.035716,          0.00078817,             0.00102,             0.00102,             0.00102
                  99,            0.026113,            0.022023,          0.00047646,             0.78566,              0.7721,             0.72429,             0.33229,            0.042685,            0.037279,          0.00082131,           0.0010089,           0.0010089,           0.0010089
